test_name, test_tag, generator, container, capacity, duration, threads, throughput, thread_throughput, hit_rate, pull_threshold, purge_threshold
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 64.7543, 1, 216202, 216202, 0.838449, 0.9, 0.001
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.2293, 1, 2.35766e+06, 2.35766e+06, 0.82928, 0.001, 0.01
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.1869, 1, 2.47562e+06, 2.47562e+06, 0.828127, 0.01, 0.01
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.3936, 1, 2.5665e+06, 2.5665e+06, 0.828318, 0.1, 0.01
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.1611, 1, 1.31314e+06, 1.31314e+06, 0.833424, 0.4, 0.01
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.4064, 1, 744954, 744954, 0.853061, 0.7, 0.01
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 61.5704, 1, 665904, 665904, 0.859771, 0.9, 0.01
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.081, 1, 2.39676e+06, 2.39676e+06, 0.825804, 0.001, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0574, 1, 2.49761e+06, 2.49761e+06, 0.824824, 0.01, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0511, 1, 2.63109e+06, 2.63109e+06, 0.824905, 0.1, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.1525, 1, 2.46041e+06, 2.46041e+06, 0.83376, 0.4, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.4752, 1, 2.05043e+06, 2.05043e+06, 0.84356, 0.7, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.3329, 1, 1.92267e+06, 1.92267e+06, 0.847655, 0.9, 0.1
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0512, 1, 2.51452e+06, 2.51452e+06, 0.81252, 0.001, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.1828, 1, 2.67518e+06, 2.67518e+06, 0.811105, 0.01, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0101, 1, 2.78287e+06, 2.78287e+06, 0.812346, 0.1, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.2038, 1, 2.82374e+06, 2.82374e+06, 0.821921, 0.4, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.4454, 1, 2.71319e+06, 2.71319e+06, 0.83242, 0.7, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.4988, 1, 2.4298e+06, 2.4298e+06, 0.840126, 0.9, 0.4
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.2465, 1, 2.68895e+06, 2.68895e+06, 0.795228, 0.001, 0.7
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.0683, 1, 2.83011e+06, 2.83011e+06, 0.794422, 0.01, 0.7
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.1861, 1, 2.95749e+06, 2.95749e+06, 0.796804, 0.1, 0.7
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.4182, 1, 3.04544e+06, 3.04544e+06, 0.811102, 0.4, 0.7
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.1386, 1, 2.8268e+06, 2.8268e+06, 0.826438, 0.7, 0.7
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.196, 1, 2.49186e+06, 2.49186e+06, 0.836976, 0.9, 0.7
19:43:16, GCP1, trace:traces/wiki_dataset.blis, DeferredLRU-2, 791359, 60.1662, 1, 2.7424e+06, 2.7424e+06, 0.781159, 0.001, 0.9
